timestamp_ms,tag_id,pose_x,pose_y,pose_z,rel_x,rel_y,rel_z,imu_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1751480438936,REL,null,null,null,-0.0013375365522768912,0.09226145196155026,0.0012761951277402428,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439034,0,-0.08483216992319659,0.04356115730893117,1.0744608004007714,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439034,1,-0.08365216875989276,-0.04872206955565288,1.075226939331813,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439035,REL,null,null,null,-0.0011800011633038288,0.09228322686458404,-0.0007661389310416045,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439137,0,-0.08495884084282466,0.04361500125081196,1.0761025316112247,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439137,1,-0.08351808508488599,-0.04868521926384308,1.0739146859572948,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439137,REL,null,null,null,-0.001440755757938672,0.09230022051465504,0.002187845653929932,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439235,0,-0.08484828221544287,0.04355957918451877,1.0744271712439113,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439235,1,-0.08357218390925104,-0.048684665284678214,1.074477655979362,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439235,REL,null,null,null,-0.0012760983061918252,0.09224424446919699,-5.0484735450773144e-05,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439328,0,-0.08490183726023263,0.04359209285164736,1.075510961495945,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
1751480439328,1,-0.08350589226943997,-0.04868481024182043,1.0737893798274802,null,null,null,273638,-7.6154,-141.5983,-990.2537,245.0,-507.5,17.5
